BCY13297575,5-2-6-1-0-3-7-7-3-7,2015-12-06,250433,38-04,tesco
BCE12190853,7-7-9-2-1-4-5-8-1-1,2015-12-05,027414,74-00,rynek
BEP13455692,7-3-5-2-8-5-8-0-0-4,2015-12-05,004537,22-00,kurtosz
BDS11334449,7-1-2-1-0-0-8-3-2-3,2015-12-04,673451,19-27,stokotka
BDS11339711,7-1-2-1-0-0-8-3-2-3,2015-12-02,284331,50-92,stokotka
